index	statistic	pvalue	gene
371	-7.18637079337488	1.55625867748199e-09	EDA
373	-7.18233644440889	1.5805463604579e-09	CYB561
375	-7.18179291179515	1.58384749759932e-09	AHCY
359	-7.18110807005263	1.58801649607909e-09	UBE2R2
352	-7.18065671343113	1.7402549401524e-09	KLHL35
358	-7.17914614155412	1.60002078253285e-09	RNF128
377	-7.17729562521925	1.61142643673173e-09	ABO
357	-7.17681420900679	1.61440694146364e-09	HSPA4
366	-7.1763465654047	1.61730739911548e-09	OSTC
376	-7.17607487399763	1.61899493811291e-09	GIMAP5
378	-7.17375023663088	1.63350599713397e-09	FRMD8
372	-7.17305462194923	1.63787339246824e-09	LEPROTL1
367	-7.17168775632533	1.64648916722854e-09	PLN
349	-7.17127052033943	1.8035499760316e-09	RRS1
351	-7.17036682344121	1.80976422736734e-09	KLF11
368	-7.16958548331238	1.65982916300322e-09	DOLK
350	-7.16859924523212	1.8219806774411e-09	HIST1H2AK
1855	-7.16534145403795	4.59044025014066e-09	PBXIP1
379	-7.16504975874498	1.68897940078239e-09	GRAMD3
381	-7.16319419321056	1.70105174390756e-09	KLHL6
369	-7.1596071483974	1.72463421321822e-09	NIPAL3
380	-7.15492600775787	1.75590175732765e-09	C1orf50
365	-7.15257405657198	1.77182468696913e-09	COL4A3BP
370	-7.1496007585908	1.79216086415579e-09	EMP3
1856	-7.1378626911129	5.66237279286952e-09	DEF6
1847	-7.13401125503883	4.58306670392261e-09	RANBP3
1857	-7.13378934252163	5.74247205342715e-09	LINGO1
347	-7.11081047564519	2.27019558707298e-09	TAF11
346	-7.10977717578405	2.27914065398238e-09	LANCL2
